what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629056629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629074058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363629075429
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1363629080892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1363629089536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363629090853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363629095778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629096945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629105818
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363629108023
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363629109546
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363629112850
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363629115966
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363629116182
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363629129426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629142004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629147537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363629151016
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363629159117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629161941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629166322
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363629166373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629173803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629179985
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1363629179991
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363629182068
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363629182120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629185551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629193414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1363629195407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1363629199208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363629202221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629203781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629211267
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363629212680
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363629215149
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363629217442
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1363629219708
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1363629221218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629222722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629413927
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363629415342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629419796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629432941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363629441167
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363629443843
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363629451230
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363629452630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629457557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629504653
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1363629504659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629505766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363629518701
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363629518731
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363629519958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363629529773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1363629535265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1363629535471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363629548189
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363629553437
